il,ilce,istasyon,merkezId
Denizli,Tavas,TAVAS,18065
Denizli,Çameli,ÇAMELİ,18066
Denizli,Çal,ÇAL,18067
Denizli,Sarayköy,SARAYKÖY,18068
Uşak,Banaz,BANAZ,18069
Uşak,Ulubey,UŞAK/ULUBEY,18070
Uşak,Sivaslı,SİVASLI,18071
Ankara,Keçiören,KEÇİÖREN/BAĞLUM,18072
Ankara,Kahramankazan,KAHRAMANKAZAN/KURTBOĞAZI BARAJI,18073
Ankara,Mamak,MAMAK/BAYINDIR BARAJI,18074
Ankara,Çamlıdere,ÇAMLIDERE ORMAN İŞLETME MÜDÜRLÜĞÜ,18075
Ankara,Kalecik,KALECİK,18076
Ankara,Güdül,GÜDÜL,18077
Ankara,Polatlı,POLATLI/ACIKIR,18078
Çankırı,Kızılırmak,KIZILIRMAK,18079
Çankırı,Eldivan,ELDİVAN BELEDİYE,18080
Kırıkkale,Delice,DELİCE,18081
Balıkesir,Kepsut,KEPSUT,18082
Bursa,Orhaneli,ORHANELİ,18083
Çanakkale,Biga,BİGA,18084
Çanakkale,Yenice,ÇANAKKALE/YENİCE,18085
Bilecik,Gölpazarı,GÖLPAZARI,18086
Bilecik,Osmaneli,OSMANELİ,18087
Eskişehir,Alpu,ALPU,18088
Eskişehir,Mihalıçcık,MİHALIÇÇIK/ÇATACIK,18089
Eskişehir,Günyüzü,GÜNYÜZÜ,18090
Eskişehir,Sarıcakaya,SARICAKAYA,18091
Eskişehir,Mihalıçcık,MİHALIÇÇIK,18092
Kütahya,Altıntaş,ALTINTAŞ,18093
Kütahya,Domaniç,DOMANİÇ,18094
Kütahya,Çavdarhisar,ÇAVDARHİSAR,18095
Edirne,Lalapaşa,LALAPAŞA,18096
Edirne,Enez,ENEZ,18097
Edirne,Havsa,HAVSA,18098
İstanbul,Büyükçekmece,BÜYÜKÇEKMECE,18099
İstanbul,Tuzla,TUZLA,18100
İstanbul,Eyüp,EYÜPSULTAN,18101
Kırklareli,Demirköy,DEMİRKÖY,18102
Kırklareli,Vize,VİZE/KIYIKÖY,18103
Kocaeli,Kandıra,KANDIRA,18104
Sakarya,Hendek,HENDEK,18105
Sakarya,Sapanca,SAPANCA,18106
Tekirdağ,Şarköy,ŞARKÖY,18107
Tekirdağ,Hayrabolu,HAYRABOLU,18108
Yalova,Altınova,ALTINOVA,18109
Yalova,Armutlu,ARMUTLU,18110
Burdur,Bucak,BUCAK/KARACAÖREN,18111
Burdur,Ağlasun,AĞLASUN,18112
Burdur,Yeşilova,YEŞİLOVA,18113
Isparta,Gelendost,GELENDOST,18114
Isparta,Yenişarbademli,YENİŞARBADEMLİ,18115
Aksaray,Güzelyurt,GÜZELYURT,18116
Aksaray,Sultanhanı,SULTANHANI,18117
Aksaray,Ortaköy,AKSARAY/ORTAKÖY,18118
Kırşehir,Akpınar,AKPINAR,18119
Kırşehir,Çiçekdağı,ÇİÇEKDAĞI TİGEM,18120
Nevşehir,Derinkuyu,DERİNKUYU,18121
Nevşehir,Hacıbektaş,HACIBEKTAŞ,18122
Nevşehir,Kozaklı,KOZAKLI,18123
Çorum,Alaca,ALACA,18124
Çorum,Mecitözü,MECİTÖZÜ,18125
Çorum,Oğuzlar,OĞUZLAR,18126
Çorum,Sungurlu,SUNGURLU,18127
Çorum,İskilip,İSKİLİP,18128
Çorum,Ortaköy,ÇORUM/ORTAKÖY,18129
Ordu,Gölköy,GÖLKÖY,18130
Ordu,Akkuş,AKKUŞ,18131
Samsun,Tekkeköy,TEKKEKÖY/KARADENİZ ARŞ. (TAGEM),18132
Samsun,Bafra,BAFRA/TOPRAK SU ARŞ.(TAGEM),18133
Samsun,Vezirköprü,VEZİRKÖPRÜ,18134
Samsun,Ladik,LADİK,18135
Sinop,Erfelek,ERFELEK,18136
Amasya,Suluova,SULUOVA,18137
Amasya,Taşova,TAŞOVA,18138
Sivas,Şarkışla,ŞARKIŞLA,18139
Sivas,Yıldızeli,YILDIZELİ,18140
Tokat,Niksar,NİKSAR,18141
Tokat,Erbaa,ERBAA,18142
Tokat,Artova,ARTOVA,18143
Tokat,Sulusaray,SULUSARAY,18144
Tokat,Almus,ALMUS,18145
Tokat,Reşadiye,REŞADİYE,18146
Tokat,Merkez,TOKAT/TOPRAK VE SU ARŞ. (TAGEM),18147
Kayseri,Kocasinan,KOCASİNAN/YAMULA BARAJI,18148
Gaziantep,Karkamış,KARKAMIŞ,18150
Gaziantep,Nurdağı,NURDAĞI,18151
Gaziantep,Araban,ARABAN,18152
Gaziantep,Nizip,NİZİP,18153
Kilis,Musabeyli,MUSABEYLİ,18154
Kilis,Elbeyli,ELBEYLİ,18155
Kahramanmaraş,Andırın,ANDIRIN,18156
Kahramanmaraş,Pazarcık,PAZARCIK,18157
Bolu,Mudurnu,MUDURNU,18158
Karabük,Eflani,EFLANİ,18159
Mardin,Dargeçit,DARGEÇİT/ILISU BARAJ SAHASI,18160
Batman,Hasankeyf,HASANKEYF,18161
Batman,Sason,SASON,18162
Diyarbakır,Lice,LİCE,18163
Diyarbakır,Silvan,SİLVAN,18164
Diyarbakır,Bismil,BİSMİL,18165
Diyarbakır,Yenişehir,YENİŞEHİR/EŞREF BİTLİS HELİPORT,18166
Mardin,Mazıdağı,MAZIDAĞI,18167
Mardin,Midyat,MİDYAT,18168
Siirt,Baykan,BAYKAN,18169
Şanlıurfa,Halfeti,HALFETİ,18170
Şanlıurfa,Suruç,SURUÇ,18171
Şanlıurfa,Akçakale,AKÇAKALE/KORUKLU GAP TOPRAK SU (TAGEM),18172
Şanlıurfa,Haliliye,HALİLİYE/ÜNİVERSİTE OSMANBEY KAMPÜSÜ,18173
Şırnak,Uludere,ULUDERE,18175
Bingöl,Kiğı,KİĞI,18176
Bingöl,Karlıova,KARLIOVA,18177
Elazığ,Kovancılar,KOVANCILAR,18178
Tunceli,Ovacık,TUNCELİ/OVACIK,18179
Adıyaman,Çelikhan,ÇELİKHAN,18180
Adıyaman,Besni,BESNİ,18181
Adıyaman,Gerger,GERGER,18182
Malatya,Hekimhan,HEKİMHAN,18183
Malatya,Kuluncak,KULUNCAK,18184
Malatya,Darende,DARENDE,18185
Malatya,Pötürge,PÜTÜRGE,18186
Malatya,Battalgazi,BATTALGAZİ/MEYVECİLİK ARŞ.(TAGEM),18187
Malatya,Yazıhan,YAZIHAN,18188
Malatya,Arguvan,ARGUVAN,18189
Elazığ,Sivrice,SİVRİCE/GÖZELİ,18190
Elazığ,Merkez,ELAZIĞ/HARPUT,18191
Elazığ,Kovancılar,KOVANCILAR/YARIMCA,18192
Ağrı,Patnos,PATNOS,18193
Ağrı,Eleşkirt,ELEŞKİRT,18194
Iğdır,Aralık,ARALIK,18195
Kars,Selim,SELİM,18197
Kars,Kağızman,KAĞIZMAN,18198
Erzincan,Refahiye,REFAHİYE,18199
Erzincan,Kemah,KEMAH,18200
Erzurum,Pasinler,PASİNLER/TOPRAK SU ARŞ. (TAGEM),18201
Erzurum,Narman,NARMAN,18202
Erzurum,Çat,ÇAT,18203
Erzurum,Karayazı,KARAYAZI,18204
Erzurum,Aşkale,AŞKALE,18205
Mersin,Tarsus,TARSUS/ARDIÇLI,18206
Kayseri,Yeşilhisar,YEŞİLHİSAR,18207
Yozgat,Çekerek,ÇEKEREK,18208
Yozgat,Akdağmadeni,AKDAĞMADENİ,18209
Karaman,Ermenek,ERMENEK,18210
Karaman,Ayrancı,AYRANCI,18211
Konya,Seydişehir,SEYDİŞEHİR/ALACABEL,18212
Konya,Karatay,KARATAY/BAHRİ DAĞDAŞ ARŞ. (TAGEM),18213
Niğde,Çamardı,ÇAMARDI,18214
Kastamonu,Araç,ARAÇ,18215
Artvin,Yusufeli,YUSUFELİ,18216
Artvin,Şavşat,ŞAVŞAT,18217
Artvin,Ardanuç,ARDANUÇ,18218
Bayburt,Demirözü,DEMİRÖZÜ,18219
Giresun,Çamoluk,ÇAMOLUK,18220
Giresun,Doğankent,DOĞANKENT,18221
Giresun,Dereli,DERELİ/YAVUZKEMAL,18222
Giresun,Çanakçı,ÇANAKÇI,18223
Giresun,Alucra,ALUCRA,18224
Giresun,Tirebolu,TİREBOLU,18225
Gümüşhane,Kürtün,KÜRTÜN,18226
Gümüşhane,Torul,TORUL,18227
Gümüşhane,Kelkit,KELKİT,18228
Trabzon,Düzköy,DÜZKÖY,18229
Trabzon,Tonya,TONYA/KALINÇAM,18230
Trabzon,Beşikdüzü,BEŞİKDÜZÜ,18231
Trabzon,Hayrat,HAYRAT/PAZARÖNÜ,18232
Trabzon,Arsin,ARSİN,18233
Hakkari,Şemdinli,ŞEMDİNLİ,18234
Van,Bahçesaray,BAHÇESARAY,18235
Ardahan,Posof,POSOF,18236
Van,Gürpınar,GÜRPINAR,18237
Van,Çaldıran,ÇALDIRAN,18238
Bolu,Merkez,BOLU/BATI KARADENİZ ORMAN ARŞ.,18239
Ankara,Akyurt,AKYURT,18240
Ankara,Çamlıdere,ÇAMLIDERE/ÇAMKORU,18241
Ankara,Çubuk,ÇUBUK,18242
Ankara,Pursaklar,PURSAKLAR,18243
Ankara,Sincan,SİNCAN,18244
Bartın,Kurucaşile,KURUCAŞİLE,18245
Bolu,Göynük,GÖYNÜK,18246
Bolu,Mengen,MENGEN,18247
Bolu,Yeniçağa,YENİÇAĞA,18248
Çankırı,Atkaracalar,ATKARACALAR,18249
Çankırı,Bayramören,BAYRAMÖREN,18251
Çankırı,Korgun,KORGUN,18252
Çankırı,Orta,ORTA,18253
Kırıkkale,Çelebi,ÇELEBİ,18254
Kırıkkale,Sulakyurt,SULAKYURT,18255
Ankara,Çankaya,ÇANKAYA/ÇALDAĞ,18256
Ankara,Haymana,HAYMANA,18257
Adana,Aladağ,ALADAĞ,18258
Düzce,Gölyaka,GÖLYAKA,18259
Düzce,Yığılca,YIĞILCA,18260
Karabük,Eskipazar,KARABÜK/KARATEPE,18261
Karabük,Yenice,KARABÜK/YENİCE,18262
Kırıkkale,Merkez,KIRIKKALE/HACILAR,18263
Kırıkkale,Balışeyh,BALIŞEYH,18264
Zonguldak,Alaplı,ALAPLI,18265
Karabük,Ovacık,KARABÜK/OVACIK,18266
Zonguldak,Gökçebey,GÖKÇEBEY,18267
Adana,Çukurova,ÇUKUROVA,18268
Adana,Feke,FEKE,18269
Adana,Sarıçam,SARIÇAM,18270
Gaziantep,Şahinbey,ŞAHİNBEY,18271
Gaziantep,Şehitkamil,ŞEHİTKAMİL,18272
Gaziantep,Yavuzeli,YAVUZELİ,18273
Hatay,Erzin,ERZİN,18274
Hatay,Hassa,HASSA,18275
Hatay,Kırıkhan,KIRIKHAN,18276
Hatay,Kumlu,KUMLU,18277
Hatay,Yayladağı,YAYLADAĞI,18278
Kahramanmaraş,Çağlayancerit,ÇAĞLAYANCERİT,18279
Kahramanmaraş,Ekinözü,EKİNÖZÜ,18280
Kahramanmaraş,Nurhak,NURHAK,18281
Kahramanmaraş,Türkoğlu,TÜRKOĞLU,18282
Kilis,Polateli,POLATELİ,18283
Mersin,Bozyazı,BOZYAZI,18284
Mersin,Erdemli,ERDEMLİ/TÖMÜK,18285
Mersin,Toroslar,TOROSLAR/ARSLANKÖY,18287
Mersin,Toroslar,TOROSLAR/KIZILBAĞ,18288
Osmaniye,Hasanbeyli,HASANBEYLİ,18289
Osmaniye,Toprakkale,TOPRAKKALE,18290
Afyonkarahisar,Başmakçı,BAŞMAKÇI,18291
Afyonkarahisar,Hocalar,HOCALAR,18292
Afyonkarahisar,Kızılören,KIZILÖREN,18293
Denizli,Babadağ,BABADAĞ,18294
Denizli,Baklan,BAKLAN,18295
Denizli,Bekilli,BEKİLLİ,18296
Denizli,Beyağaç,BEYAĞAÇ,18297
Denizli,Bozkurt,DENİZLİ/BOZKURT,18298
Denizli,Buldan,BULDAN,18299
Denizli,Honaz,HONAZ,18300
Denizli,Kale,DENİZLİ/KALE,18301
Denizli,Serinhisar,SERİNHİSAR,18302
Denizli,Tavas,DENİZLİ KAYAK MERKEZİ,18303
Uşak,Karahallı,KARAHALLI,18304
Antalya,Elmalı,ELMALI ORMAN SAHASI,18305
Antalya,Serik,SERİK,18306
Antalya,Döşemealtı,DÖŞEMEALTI/KARAİN HAVACILIK,18307
Burdur,Altınyayla,BURDUR/ALTINYAYLA,18308
Burdur,Çavdır,ÇAVDIR,18309
Burdur,Çavdır,ÇAVDIR/SÖĞÜT BELDESİ,18310
Burdur,Çeltikçi,ÇELTİKÇİ,18311
Burdur,Karamanlı,KARAMANLI,18312
Burdur,Kemer,BURDUR/KEMER,18313
Burdur,Merkez,MEHMET AKİF ERSOY ÜNİVERSİTESİ,18314
Isparta,Gönen,ISPARTA/GÖNEN,18315
Isparta,Keçiborlu,KEÇİBORLU,18316
Muğla,Ortaca,ORTACA,18317
Batman,Beşiri,BEŞİRİ,18318
Batman,Gercüş,GERCÜŞ,18319
Batman,Kozluk,KOZLUK,18320
Diyarbakır,Çınar,ÇINAR,18321
Diyarbakır,Çüngüş,ÇÜNGÜŞ,18322
Diyarbakır,Dicle,DİCLE,18323
Diyarbakır,Eğil,EĞİL,18324
Diyarbakır,Hani,HANİ,18325
Diyarbakır,Hazro,HAZRO,18326
Diyarbakır,Kayapınar,KAYAPINAR/DEVEGEÇİDİ,18327
Diyarbakır,Kocaköy,KOCAKÖY,18328
Diyarbakır,Kulp,KULP,18329
Mardin,Dargeçit,DARGEÇİT,18330
Mardin,Derik,DERİK,18331
Mardin,Kızıltepe,KIZILTEPE,18332
Mardin,Ömerli,MARDİN/ÖMERLİ,18333
Mardin,Savur,SAVUR,18334
Mardin,Yeşilli,YEŞİLLİ,18335
Şırnak,Güçlükonak,GÜÇLÜKONAK,18336
Siirt,Eruh,ERUH,18337
Siirt,Kurtalan,KURTALAN,18338
Siirt,Pervari,PERVARİ,18339
Siirt,Şirvan,ŞİRVAN,18340
Adıyaman,Merkez,ADIYAMAN ÜNİVERSİTESİ,18341
Şırnak,Beytüşşebap,BEYTÜŞŞEBAP,18342
Şırnak,İdil,İDİL,18343
Şırnak,Silopi,SİLOPİ,18344
Adıyaman,Samsat,SAMSAT,18345
Adıyaman,Sincik,SİNCİK,18346
Adıyaman,Tut,TUT,18347
Bingöl,Adaklı,ADAKLI,18348
Bingöl,Yayladere,YAYLADERE,18349
Bingöl,Yedisu,YEDİSU,18350
Elazığ,Arıcak,ARICAK,18351
Malatya,Doğanyol,DOĞANYOL,18352
Malatya,Merkez,MALATYA/KAYISI ARŞ. ENS.,18353
Tunceli,Hozat,HOZAT,18354
Tunceli,Nazımiye,NAZIMİYE,18355
Ağrı,Diyadin,DİYADİN,18356
Ağrı,Hamur,HAMUR,18357
Ağrı,Taşlıçay,TAŞLIÇAY,18358
Ağrı,Tutak,TUTAK,18359
Erzincan,Çayırlı,ÇAYIRLI,18360
Erzincan,İliç,İLİÇ,18361
Erzincan,Kemaliye,KEMALİYE,18362
Erzincan,Otlukbeli,OTLUKBELİ,18363
Erzincan,Üzümlü,ÜZÜMLÜ,18364
Erzurum,Karaçoban,KARAÇOBAN,18365
Erzurum,Köprüköy,KÖPRÜKÖY,18366
Erzurum,Olur,OLUR,18367
Erzurum,Pazaryolu,PAZARYOLU,18368
Erzurum,Şenkaya,ŞENKAYA,18369
Erzurum,Tekman,TEKMAN,18370
Iğdır,Karakoyunlu,KARAKOYUNLU,18371
Iğdır,Tuzluca,TUZLUCA,18372
Kars,Akyaka,AKYAKA,18373
Kars,Digor,DİGOR,18374
Kars,Susuz,SUSUZ,18375
Ardahan,Çıldır,ÇILDIR,18376
Ardahan,Damal,DAMAL,18377
Ardahan,Göle,GÖLE,18378
Ardahan,Hanak,HANAK,18379
Bilecik,İnhisar,İNHİSAR,18380
Bilecik,Yenipazar,BİLECİK/YENİPAZAR,18381
Bursa,Büyükorhan,BÜYÜKORHAN,18382
Bursa,Harmancık,HARMANCIK,18383
Bursa,Kestel,KESTEL,18384
Bursa,Mudanya,MUDANYA,18385
Bursa,Nilüfer,NİLÜFER,18386
Bursa,Orhangazi,ORHANGAZİ,18387
Eskişehir,Beylikova,BEYLİKOVA,18388
Eskişehir,Han,HAN,18389
Eskişehir,Seyitgazi,SEYİTGAZİ,18390
Kütahya,Aslanapa,ASLANAPA,18391
Kütahya,Pazarlar,PAZARLAR,18392
Edirne,Keşan,KEŞAN,18393
Edirne,Meriç,MERİÇ,18394
Edirne,Süloğlu,SÜLOĞLU,18395
İstanbul,Beykoz,BEYKOZ,18396
İstanbul,Çekmeköy,ÇEKMEKÖY/ÖMERLİ,18397
Kırklareli,Pınarhisar,PINARHİSAR,18398
İstanbul,Sancaktepe,SANCAKTEPE,18399
İstanbul,Silivri,SİLİVRİ,18400
İstanbul,Şişli,ŞİŞLİ,18401
İstanbul,Arnavutköy,ARNAVUTKÖY,18402
İstanbul,Ümraniye,ÜMRANİYE,18403
İstanbul,Üsküdar,ÜSKÜDAR,18404
Kırklareli,Babaeski,BABAESKİ,18405
Kırklareli,Kofçaz,KOFÇAZ,18406
Kırklareli,Pehlivanköy,PEHLİVANKÖY,18407
Kırklareli,Vize,VİZE/YUMURTATEPE,18408
Kocaeli,Başiskele,BAŞİSKELE,18409
Kocaeli,Darıca,DARICA,18410
Kocaeli,Dilovası,DİLOVASI,18411
Kocaeli,Karamürsel,KARAMÜRSEL,18412
Kocaeli,Kartepe,KARTEPE,18413
Kocaeli,Körfez,KÖRFEZ,18414
Sakarya,Akyazı,AKYAZI,18415
Sakarya,Ferizli,FERİZLİ,18416
Sakarya,Karapürçek,KARAPÜRÇEK,18417
Sakarya,Kaynarca,KAYNARCA,18418
Sakarya,Kocaali,KOCAALİ,18419
Sakarya,Taraklı,TARAKLI,18420
İstanbul,Beykoz,BEYKOZ/ANADOLU FENERİ,18421
Tekirdağ,Muratlı,MURATLI,18422
Tekirdağ,Saray,TEKİRDAĞ/SARAY,18423
Yalova,Termal,TERMAL,18424
Aydın,Buharkent,BUHARKENT,18425
Aydın,Germencik,GERMENCİK,18426
Aydın,Koçarlı,KOÇARLI,18427
Aydın,Köşk,KÖŞK,18428
Aydın,Kuyucak,KUYUCAK,18429
Aydın,Yenipazar,AYDIN/YENİPAZAR,18430
Balıkesir,Dursunbey,DURSUNBEY/YAYLA ORMAN SAHASI,18431
Balıkesir,İvrindi,İVRİNDİ,18432
Balıkesir,Altıeylül,ALTIEYLÜL,18433
Balıkesir,Savaştepe,SAVAŞTEPE,18434
Çanakkale,Ayvacık,ÇANAKKALE/AYVACIK,18435
Çanakkale,Bayramiç,BAYRAMİÇ,18436
Çanakkale,Çan,ÇAN,18437
Çanakkale,Lapseki,LAPSEKİ,18438
İzmir,Kemalpaşa,KEMALPAŞA/OVACIK KÖYÜ,18439
İzmir,Bayraklı,BAYRAKLI,18440
İzmir,Beydağ,BEYDAĞ,18441
İzmir,Bornova,BORNOVA ORMAN SAHASI,18442
İzmir,Buca,BUCA,18443
İzmir,Güzelbahçe,GÜZELBAHÇE,18444
İzmir,Karabağlar,İZMİR ÇATALKAYA RADAR SAHASI,18445
İzmir,Karşıyaka,KARŞIYAKA,18446
İzmir,Kiraz,KİRAZ,18447
İzmir,Konak,KONAK,18448
İzmir,Menderes,MENDERES/ÇİLEME KÖYÜ,18449
İzmir,Narlıdere,NARLIDERE,18450
Manisa,Ahmetli,AHMETLİ,18451
Manisa,Sarıgöl,SARIGÖL,18452
Manisa,Selendi,SELENDİ,18453
Kayseri,Akkışla,AKKIŞLA,18454
Kayseri,Bünyan,BÜNYAN,18455
Kayseri,Felahiye,FELAHİYE,18456
Kayseri,İncesu,İNCESU,18457
Kayseri,Özvatan,ÖZVATAN,18458
Kayseri,Sarıoğlan,SARIOĞLAN,18459
Kayseri,Talas,TALAS/ALİ DAĞI,18460
Kayseri,Yahyalı,YAHYALI,18461
Kırşehir,Akçakent,AKÇAKENT,18462
Nevşehir,Acıgöl,ACIGÖL,18463
Nevşehir,Gülşehir,GÜLŞEHİR,18464
Sivas,Akıncılar,AKINCILAR,18465
Sivas,Altınyayla,SİVAS/ALTINYAYLA,18466
Sivas,Doğanşar,DOĞANŞAR,18467
Sivas,Gölova,GÖLOVA,18468
Sivas,Hafik,HAFİK,18469
Sivas,İmranlı,İMRANLI,18470
Sivas,Koyulhisar,KOYULHİSAR,18471
Yozgat,Aydıncık,YOZGAT/AYDINCIK,18472
Yozgat,Çandır,ÇANDIR,18473
Yozgat,Çayıralan,ÇAYIRALAN,18474
Yozgat,Kadışehri,KADIŞEHRİ,18475
Yozgat,Saraykent,SARAYKENT,18476
Yozgat,Sarıkaya,SARIKAYA,18477
Yozgat,Şefaatli,ŞEFAATLİ,18478
Yozgat,Yenifakılı,YENİFAKILI,18479
Aksaray,Ağaçören,AĞAÇÖREN,18480
Aksaray,Eskil,ESKİL,18481
Aksaray,Gülağaç,GÜLAĞAÇ,18482
Aksaray,Sarıyahşi,SARIYAHŞİ,18483
Karaman,Kazımkarabekir,KAZIMKARABEKİR,18484
Karaman,Sarıveliler,SARIVELİLER,18485
Konya,Ahırlı,AHIRLI,18486
Konya,Akören,AKÖREN,18487
Konya,Altınekin,ALTINEKİN,18488
Konya,Bozkır,BOZKIR,18489
Konya,Çeltik,ÇELTİK,18490
Konya,Derbent,DERBENT,18491
Konya,Derebucak,DEREBUCAK,18492
Konya,Doğanhisar,DOĞANHİSAR,18493
Konya,Emirgazi,EMİRGAZİ,18494
Konya,Güneysınır,GÜNEYSINIR,18495
Konya,Halkapınar,HALKAPINAR/İVRİZ,18496
Konya,Hüyük,HÜYÜK,18497
Konya,Taşkent,TAŞKENT,18498
Konya,Tuzlukçu,TUZLUKÇU,18499
Konya,Yalıhüyük,YALIHÜYÜK,18500
Niğde,Altunhisar,ALTUNHİSAR,18501
Niğde,Bor,BOR,18502
Niğde,Çiftlik,ÇİFTLİK,18503
Amasya,Göynücek,GÖYNÜCEK,18504
Amasya,Gümüşhacıköy,GÜMÜŞHACIKÖY,18505
Amasya,Hamamözü,HAMAMÖZÜ,18506
Samsun,Atakum,ATAKUM/SAMSUN RADAR SAHASI,18507
Çorum,Boğazkale,BOĞAZKALE,18508
Çorum,Dodurga,DODURGA,18509
Çorum,Kargı,KARGI,18510
Çorum,Laçin,LAÇİN,18511
Çorum,Uğurludağ,UĞURLUDAĞ,18512
Kastamonu,Pınarbaşı,KASTAMONU/PINARBAŞI,18513
Kastamonu,Azdavay,AZDAVAY,18514
Kastamonu,Daday,DADAY,18515
Kastamonu,Doğanyurt,DOĞANYURT,18516
Kastamonu,İhsangazi,İHSANGAZİ,18517
Kastamonu,Küre,KÜRE,18518
Kastamonu,Pınarbaşı,PINARBAŞI KAR,18519
Kastamonu,Seydiler,SEYDİLER,18520
Kastamonu,Şenpazar,ŞENPAZAR,18521
Kastamonu,Taşköprü,TAŞKÖPRÜ,18522
Ordu,Aybastı,AYBASTI,18523
Ordu,Çamaş,ÇAMAŞ,18524
Ordu,Çaybaşı,ÇAYBAŞI,18526
Ordu,Altınordu,ORDU ÜNİVERSİTE KAMPÜSÜ,18527
Ordu,Gürgentepe,GÜRGENTEPE,18528
Ordu,İkizce,İKİZCE/ŞENBOLLUK,18529
Ordu,Kabataş,KABATAŞ,18530
Ordu,Kumru,KUMRU,18531
Ordu,Mesudiye,MESUDİYE,18532
Ordu,Perşembe,PERŞEMBE/KIRLI BELDESİ,18533
Ordu,Ulubey,ORDU/ULUBEY,18534
Samsun,Asarcık,ASARCIK,18535
Samsun,Ayvacık,SAMSUN/AYVACIK,18536
Samsun,Canik,CANİK/KAŞYAYLA KÖYÜ,18537
Samsun,Çarşamba,ÇARŞAMBA,18538
Samsun,Havza,HAVZA,18539
Samsun,Kavak,KAVAK,18540
Samsun,Ondokuzmayıs,ONDOKUZMAYIS,18541
Samsun,Salıpazarı,SALIPAZARI,18542
Samsun,Salıpazarı,SALIPAZARI/DÜZDAĞ YAYLAKÖY,18543
Samsun,Terme,TERME/KOZLUK BELDESİ,18544
Samsun,Yakakent,YAKAKENT/KARAABA KÖYÜ,18545
Sinop,Ayancık,AYANCIK/AKÖREN KÖYÜ,18546
Sinop,Dikmen,DİKMEN,18547
Sinop,Durağan,DURAĞAN,18548
Sinop,Gerze,GERZE,18549
Sinop,Saraydüzü,SARAYDÜZÜ,18550
Sinop,Türkeli,TÜRKELİ,18551
Tokat,Pazar,TOKAT/PAZAR,18552
Tokat,Yeşilyurt,YEŞİLYURT,18553
Artvin,Arhavi,ARHAVİ,18554
Artvin,Borçka,BORÇKA,18555
Artvin,Murgul,MURGUL,18556
Bayburt,Aydıntepe,AYDINTEPE,18557
Giresun,Bulancak,BULANCAK,18558
Giresun,Eynesil,EYNESİL/ÖREN BELDESİ,18559
Giresun,Görele,GÖRELE/KUŞÇULU KÖYÜ,18560
Giresun,Güce,GÜCE,18561
Giresun,Keşap,KEŞAP/YİVDİNCİK KÖYÜ,18562
Giresun,Yağlıdere,YAĞLIDERE,18563
Gümüşhane,Köse,KÖSE,18564
Gümüşhane,Şiran,ŞİRAN,18565
Rize,Derepazarı,DEREPAZARI/MALTEPE KÖYÜ,18566
Rize,Fındıklı,FINDIKLI,18567
Rize,Merkez,RİZE/ANDON,18568
Rize,İkizdere,İKİZDERE/CİMİL,18569
Trabzon,Dernekpazarı,DERNEKPAZARI,18570
Trabzon,Köprübaşı,KÖPRÜBAŞI/BEŞKÖY,18571
Trabzon,Maçka,MAÇKA/ÖRNEKALAN KÖYÜ,18572
Trabzon,Çarşıbaşı,ÇARŞIBAŞI/YOROZ,18573
Trabzon,Sürmene,SÜRMENE/DENİZ BİLİMLERİ FAKÜLTESİ,18574
Trabzon,Vakfıkebir,VAKFIKEBİR/HAMZALI KÖYÜ,18575
Bitlis,Adilcevaz,ADİLCEVAZ,18576
Bitlis,Güroymak,GÜROYMAK,18577
Bitlis,Hizan,HİZAN,18578
Bitlis,Mutki,MUTKİ,18579
Çanakkale,Eceabat,ECEABAT MİLLİ PARKI,18580
Muş,Bulanık,BULANIK,18581
Muş,Korkut,KORKUT,18582
Van,Çatak,ÇATAK,18583
Van,Saray,VAN/SARAY,18585
Tunceli,Pülümür,PÜLÜMÜR,18586
Şırnak,Uludere,ULUDERE/GÜRVİLTEPE,18587
Elazığ,Sivrice,SİVRİCE/HAZARBABA DAĞI,18589
Eskişehir,Alpu,ALPU/ALAPINAR KÖYÜ,18590
Konya,Bozkır,BOZKIR/SORKUN YAYLASI,18591
Konya,Taşkent,TAŞKENT/BALCILAR BELDESİ,18592
Ankara,Haymana,HAYMANA/DEVECİPINARI KÖYÜ,18593
Ankara,Haymana,HAYMANA/YENİCE BELDESİ,18594
Sakarya,Hendek,HENDEK/YENİYAYLA KÖYÜ,18595
Aydın,Kuyucak,KUYUCAK/MUSAKOLU KÖYÜ,18596
Balıkesir,Kepsut,KEPSUT/DALKÖY,18597
Balıkesir,Dursunbey,DURSUNBEY/REŞADİYE MEVKİ,18598
İzmir,Ödemiş,ÖDEMİŞ/DEMİRDERE KÖYÜ,18599
Manisa,Selendi,SELENDİ/TAVAK KÖYÜ,18600
Kütahya,Domaniç,DOMANİÇ/KOCAYAYLA,18601
Eskişehir,Tepebaşı,TEPEBAŞI/BOZDAĞ MEVKİ,18602
Kütahya,Emet,EMET/ESATLAR KÖYÜ,18604
Kütahya,Merkez,KÜTAHYA/KİRAZLIYAYLASI KÖYÜ,18605
Kütahya,Şaphane,ŞAPHANE,18606
Kütahya,Tavşanlı,TAVŞANLI/GÜMÜŞYENİKÖY,18607
Isparta,Sütçüler,SÜTÇÜLER/BEYDİLİ KÖYÜ,18608
Antalya,Korkuteli,KORKUTELİ/ÇOMAKLI MEVKİ,18609
Antalya,Akseki,AKSEKİ/CEVİZLİ TEKEBELİ MEVKİ,18610
Antalya,Gündoğmuş,GÜNDOĞMUŞ/BEDAN MEVKİ,18611
